t,id_autre,type_autre,relation,meme_voie,distance_m,ecart_lateral_m,cap_relatif_deg,vitesse_ego_kmh,vitesse_autre_kmh,vitesse_relative_kmh,ttc_s,thw_s,drac,niveau,metrique_decisive
14.00,945,voiture,meme_voie,oui,11.1,+0.00,+0.0,10.6,0.0,+10.6,3.76,3.76,0.39,WATCH,TTC
14.05,945,voiture,meme_voie,oui,10.9,+0.00,+0.0,10.6,0.0,+10.6,3.71,3.71,0.40,WATCH,TTC
14.10,945,voiture,meme_voie,oui,10.8,+0.00,+0.0,10.5,0.0,+10.5,3.71,3.71,0.39,WATCH,TTC
14.15,945,voiture,meme_voie,oui,10.7,+0.00,+0.0,10.2,0.0,+10.2,3.75,3.75,0.38,WATCH,TTC
14.20,945,voiture,meme_voie,oui,10.5,+0.00,+0.0,10.0,0.0,+10.0,3.80,3.80,0.36,WATCH,TTC
14.25,945,voiture,meme_voie,oui,10.4,+0.00,+0.0,9.6,0.0,+9.6,3.88,3.88,0.34,WATCH,TTC
14.30,945,voiture,meme_voie,oui,10.3,+0.00,+0.0,9.3,0.0,+9.3,3.96,3.96,0.33,WATCH,TTC
14.35,945,voiture,meme_voie,oui,10.1,+0.00,+0.0,9.0,0.0,+9.0,4.07,4.07,0.31,SAFE,—
14.40,945,voiture,meme_voie,oui,10.0,+0.00,+0.0,8.8,0.0,+8.8,4.10,4.10,0.30,SAFE,—
14.45,945,voiture,meme_voie,oui,9.9,+0.00,+0.0,8.7,0.0,+8.7,4.07,4.07,0.30,SAFE,—
14.50,945,voiture,meme_voie,oui,9.8,+0.00,+0.0,9.0,0.0,+9.0,3.91,3.91,0.32,WATCH,TTC
14.55,945,voiture,meme_voie,oui,9.6,+0.00,+0.0,9.2,0.0,+9.2,3.77,3.77,0.34,WATCH,TTC
14.60,945,voiture,meme_voie,oui,9.5,+0.00,+0.0,9.2,0.0,+9.2,3.70,3.70,0.35,WATCH,TTC
14.65,945,voiture,meme_voie,oui,9.4,+0.00,+0.0,9.1,0.0,+9.1,3.71,3.71,0.34,WATCH,TTC
14.70,945,voiture,meme_voie,oui,9.3,+0.00,+0.0,8.9,0.0,+8.9,3.74,3.74,0.33,WATCH,TTC
14.75,945,voiture,meme_voie,oui,9.1,+0.00,+0.0,8.6,0.0,+8.6,3.81,3.81,0.31,WATCH,TTC
14.80,945,voiture,meme_voie,oui,9.0,+0.00,+0.0,8.3,0.0,+8.3,3.89,3.89,0.30,WATCH,TTC
14.85,945,voiture,meme_voie,oui,8.9,+0.00,+0.0,8.0,0.0,+8.0,4.00,4.00,0.28,WATCH,TTC
14.90,945,voiture,meme_voie,oui,8.8,+0.00,+0.0,7.7,0.0,+7.7,4.10,4.10,0.26,SAFE,—
14.95,945,voiture,meme_voie,oui,8.7,+0.00,+0.0,7.5,0.0,+7.5,4.17,4.17,0.25,SAFE,—
15.00,945,voiture,meme_voie,oui,8.6,+0.00,+0.0,7.5,0.0,+7.5,4.11,4.11,0.25,SAFE,—
15.05,945,voiture,meme_voie,oui,8.5,+0.00,+0.0,7.7,0.0,+7.7,3.96,3.96,0.27,WATCH,TTC
15.10,945,voiture,meme_voie,oui,8.4,+0.00,+0.0,8.0,0.0,+8.0,3.77,3.77,0.29,WATCH,TTC
15.15,945,voiture,meme_voie,oui,8.3,+0.00,+0.0,8.0,0.0,+8.0,3.71,3.71,0.30,WATCH,TTC
15.20,945,voiture,meme_voie,oui,8.1,+0.00,+0.1,7.9,0.1,+7.9,3.73,3.70,0.29,CRITICAL,PET
15.25,945,voiture,meme_voie,oui,8.0,+0.00,+0.1,7.6,0.2,+7.4,3.91,3.80,0.26,CRITICAL,PET
15.30,945,voiture,meme_voie,oui,7.9,+0.00,+0.1,6.9,0.1,+6.8,4.22,4.15,0.22,CRITICAL,PET
15.35,945,voiture,meme_voie,oui,7.9,+0.00,+0.1,2.3,0.3,+2.0,14.35,12.24,0.02,CRITICAL,PET
15.40,945,voiture,meme_voie,oui,7.9,+0.00,+0.1,0.0,0.4,-0.4,,30234.41,0.00,CRITICAL,PET
15.45,945,voiture,meme_voie,oui,7.9,+0.00,+0.1,0.0,1.0,-1.0,,52727.50,0.00,SAFE,—
15.50,945,voiture,meme_voie,oui,7.9,+0.00,+0.1,0.0,1.0,-1.0,,33548.76,0.00,SAFE,—
15.55,945,voiture,meme_voie,oui,7.9,+0.00,+0.0,0.0,1.3,-1.3,,2722.17,0.00,CRITICAL,PET
15.60,945,voiture,meme_voie,oui,8.0,+0.00,+0.0,0.0,1.9,-1.9,,45970.65,0.00,CRITICAL,PET
15.65,945,voiture,meme_voie,oui,8.0,+0.00,+0.0,0.0,2.4,-2.4,,57720.60,0.00,SAFE,—
15.70,945,voiture,meme_voie,oui,8.0,+0.00,+0.0,0.0,2.8,-2.8,,75590.51,0.00,SAFE,—
15.75,945,voiture,meme_voie,oui,8.1,+0.00,+0.0,0.3,3.4,-3.1,,86.98,0.00,CRITICAL,PET
15.80,945,voiture,meme_voie,oui,8.1,+0.00,+0.0,0.0,3.7,-3.7,,172069.12,0.00,SAFE,—
15.85,945,voiture,meme_voie,oui,8.2,+0.00,+0.0,0.3,4.1,-3.8,,84.83,0.00,CRITICAL,PET
15.90,945,voiture,meme_voie,oui,8.2,+0.00,+0.0,0.0,4.2,-4.2,,338084.13,0.00,SAFE,—
15.95,945,voiture,meme_voie,oui,8.3,+0.00,+0.0,0.3,4.8,-4.5,,87.72,0.00,CRITICAL,PET
16.00,945,voiture,meme_voie,oui,8.4,+0.00,+0.0,0.0,5.0,-5.0,,785847.99,0.00,SAFE,—
16.05,945,voiture,meme_voie,oui,8.4,+0.00,+0.0,0.3,5.6,-5.2,,92.00,0.00,CRITICAL,PET
16.10,945,voiture,meme_voie,oui,8.5,+0.00,+0.0,0.0,5.7,-5.7,,2466168.19,0.00,SAFE,—
16.15,945,voiture,meme_voie,oui,8.6,+0.00,+0.0,0.3,6.2,-5.9,,96.28,0.00,CRITICAL,PET
16.20,945,voiture,meme_voie,oui,8.7,+0.00,+0.0,0.0,6.5,-6.5,,7080962.95,0.00,SAFE,—
16.25,945,voiture,meme_voie,oui,8.8,+0.00,+0.0,0.3,6.9,-6.6,,100.03,0.00,CRITICAL,PET
16.30,945,voiture,meme_voie,oui,8.9,+0.00,+0.0,0.0,7.2,-7.2,,3371341.38,0.00,SAFE,—
16.35,945,voiture,meme_voie,oui,9.0,+0.00,+0.0,0.3,7.6,-7.3,,103.26,0.00,CRITICAL,PET
16.40,945,voiture,meme_voie,oui,9.1,+0.00,+0.0,0.0,7.9,-7.9,,2491654.31,0.00,SAFE,—
16.45,945,voiture,meme_voie,oui,9.2,+0.00,+0.0,0.3,8.4,-8.1,,106.28,0.00,CRITICAL,PET
16.50,945,voiture,meme_voie,oui,9.3,+0.00,+0.0,0.0,8.7,-8.7,,2092222.44,0.00,SAFE,—
16.55,945,voiture,meme_voie,oui,9.4,+0.00,+0.0,0.3,9.2,-8.9,,109.31,0.00,CRITICAL,PET
16.60,945,voiture,meme_voie,oui,9.6,+0.00,+0.0,0.0,9.5,-9.5,,1947952.72,0.00,SAFE,—
16.65,945,voiture,meme_voie,oui,9.7,+0.00,+0.0,0.3,9.9,-9.6,,112.48,0.00,CRITICAL,PET
16.70,945,voiture,meme_voie,oui,9.9,+0.00,+0.0,0.0,10.3,-10.3,,1963258.55,0.00,SAFE,—
16.75,945,voiture,meme_voie,oui,10.0,+0.00,+0.0,0.3,10.7,-10.4,,115.84,0.00,CRITICAL,PET
16.80,945,voiture,meme_voie,oui,10.1,+0.00,+0.0,0.0,11.0,-11.0,,1939130.63,0.00,SAFE,—
16.85,945,voiture,meme_voie,oui,10.3,+0.00,+0.0,0.3,11.4,-11.1,,119.42,0.00,CRITICAL,PET
16.90,945,voiture,meme_voie,oui,10.5,+0.00,+0.0,0.0,11.7,-11.7,,1991925.71,0.00,SAFE,—
16.95,945,voiture,meme_voie,oui,10.6,+0.00,+0.0,0.3,12.1,-11.8,,123.23,0.00,CRITICAL,PET
17.00,945,voiture,meme_voie,oui,10.8,+0.00,+0.0,0.0,12.5,-12.5,,2040483.48,0.00,SAFE,—
17.05,945,voiture,meme_voie,oui,11.0,+0.00,+0.0,0.3,12.8,-12.5,,127.25,0.00,CRITICAL,PET
17.10,945,voiture,meme_voie,oui,11.2,+0.00,+0.0,0.0,13.2,-13.2,,2065434.20,0.00,SAFE,—
17.15,945,voiture,meme_voie,oui,11.3,+0.00,+0.0,0.3,13.5,-13.2,,131.50,0.00,CRITICAL,PET
17.20,945,voiture,convergente,non,11.5,+0.00,+0.0,0.0,13.8,-13.8,,2186429.18,0.00,SAFE,—
17.25,945,voiture,convergente,non,11.7,+0.00,+0.0,0.3,14.2,-13.9,,135.96,0.00,CRITICAL,PET
17.30,945,voiture,convergente,non,11.9,+0.00,+0.0,0.0,14.5,-14.5,,2237862.97,0.00,SAFE,—
17.35,945,voiture,convergente,non,12.1,+0.00,+0.0,0.3,14.8,-14.5,,140.61,0.00,CRITICAL,PET
17.40,945,voiture,convergente,non,12.3,+0.00,+0.0,0.0,15.1,-15.1,,2315842.50,0.00,SAFE,—
17.45,945,voiture,convergente,non,12.5,+0.00,+0.0,0.3,15.4,-15.1,,145.47,0.00,CRITICAL,PET
17.50,945,voiture,convergente,non,12.8,+0.00,+0.0,0.0,15.7,-15.7,,2404403.91,0.00,SAFE,—
17.55,945,voiture,convergente,non,13.0,+0.00,+0.0,0.3,15.9,-15.6,,150.51,0.00,CRITICAL,PET
17.60,945,voiture,convergente,non,13.2,+0.00,+0.0,0.0,16.2,-16.2,,2488825.31,0.00,SAFE,—
17.65,945,voiture,convergente,non,13.4,+0.00,+0.0,0.3,16.5,-16.2,,155.74,0.00,CRITICAL,PET
17.70,945,voiture,convergente,non,13.7,+0.00,+0.0,0.0,16.8,-16.8,,2606919.88,0.00,SAFE,—
17.75,945,voiture,convergente,non,13.9,+0.01,+0.2,0.3,17.0,-16.7,,161.13,0.00,SAFE,—
17.80,945,voiture,convergente,non,14.1,+0.02,+0.6,0.1,17.1,-17.1,,926.69,0.00,SAFE,—
17.85,945,voiture,convergente,non,14.4,+0.04,+1.2,0.3,17.1,-16.8,,197.20,0.00,SAFE,—
17.90,945,voiture,convergente,non,14.6,+0.05,+1.7,0.9,16.9,-16.0,,59.72,0.00,SAFE,—
17.95,945,voiture,convergente,non,14.8,+0.06,+2.2,1.6,16.6,-15.0,,33.45,0.00,SAFE,—
18.00,945,voiture,convergente,non,15.0,+0.08,+2.7,2.1,16.3,-14.2,,25.43,0.00,SAFE,—
18.05,945,voiture,convergente,non,15.2,+0.10,+3.1,2.7,16.2,-13.5,,20.44,0.00,SAFE,—
18.10,945,voiture,convergente,non,15.4,+0.11,+3.4,3.4,16.1,-12.7,,16.36,0.00,SAFE,—
18.15,945,voiture,convergente,non,15.5,+0.13,+3.7,4.0,16.1,-12.1,,13.99,0.00,SAFE,—
18.20,945,voiture,convergente,non,15.7,+0.15,+4.0,4.7,16.0,-11.4,,12.10,0.00,SAFE,—
18.25,945,voiture,convergente,non,15.9,+0.17,+4.2,5.3,15.9,-10.7,,10.80,0.00,WATCH,PET
18.30,945,voiture,convergente,non,16.0,+0.19,+4.4,5.9,15.8,-9.9,,9.72,0.00,WATCH,PET
18.35,945,voiture,convergente,non,16.1,+0.21,+4.6,5.9,15.7,-9.7,,9.79,0.00,WATCH,PET
18.40,945,voiture,convergente,non,16.3,+0.24,+4.8,6.1,15.5,-9.5,,9.67,0.00,WATCH,PET
18.45,945,voiture,convergente,non,16.4,+0.27,+4.9,5.3,15.4,-10.1,,11.17,0.00,SAFE,—
18.50,945,voiture,convergente,non,16.6,+0.30,+5.1,3.6,15.3,-11.7,,16.70,0.00,SAFE,—
18.55,945,voiture,convergente,non,16.7,+0.32,+5.2,4.1,15.2,-11.2,,14.80,0.00,SAFE,—
18.60,945,voiture,convergente,non,16.9,+0.35,+5.3,4.4,15.1,-10.8,,13.91,0.00,SAFE,—
18.65,945,voiture,convergente,non,17.0,+0.37,+5.4,5.2,15.0,-9.9,,11.88,0.00,SAFE,—
18.70,945,voiture,convergente,non,17.1,+0.39,+5.4,5.6,14.9,-9.3,,10.93,0.00,SAFE,—
18.75,945,voiture,convergente,non,17.3,+0.41,+5.5,6.5,14.8,-8.3,,9.53,0.00,WATCH,PET
18.80,945,voiture,convergente,non,17.4,+0.43,+5.5,6.8,14.7,-7.9,,9.14,0.00,WATCH,PET
18.85,945,voiture,convergente,non,17.5,+0.46,+5.7,7.2,14.6,-7.4,,8.71,0.00,DANGER,PET
18.90,945,voiture,convergente,non,17.6,+0.48,+6.0,6.9,14.6,-7.7,,9.22,0.00,WATCH,PET
18.95,945,voiture,convergente,non,17.7,+0.51,+6.4,6.9,14.6,-7.7,,9.23,0.00,WATCH,PET
19.00,945,voiture,convergente,non,17.8,+0.54,+6.8,6.4,14.6,-8.2,,9.95,0.00,SAFE,—
19.05,945,voiture,convergente,non,17.9,+0.58,+7.5,6.6,14.8,-8.3,,9.83,0.00,SAFE,—
19.10,945,voiture,convergente,non,18.0,+0.62,+8.1,6.4,15.1,-8.7,,10.12,0.00,SAFE,—
19.15,945,voiture,convergente,non,18.1,+0.67,+9.0,6.9,15.3,-8.3,,9.42,0.00,SAFE,—
19.20,945,voiture,convergente,non,18.2,+0.72,+10.0,7.2,15.5,-8.3,,9.07,0.00,SAFE,—
19.25,945,voiture,convergente,non,18.3,+0.79,+11.1,8.0,15.7,-7.7,,8.27,0.00,SAFE,—
19.30,945,voiture,convergente,non,18.4,+0.86,+12.6,8.5,15.9,-7.4,,7.83,0.00,SAFE,—
19.35,945,voiture,convergente,non,18.5,+0.94,+14.3,9.1,16.0,-6.9,,7.30,0.00,SAFE,—
19.40,945,voiture,convergente,non,18.6,+1.04,+16.3,9.6,16.3,-6.7,,6.93,0.00,SAFE,—
19.45,945,voiture,convergente,non,18.6,+1.14,+18.4,10.3,16.5,-6.2,,6.54,0.00,WATCH,PET
19.50,945,voiture,convergente,non,18.7,+1.25,+20.5,10.7,16.8,-6.1,,6.29,0.00,WATCH,PET
19.55,945,voiture,convergente,non,18.8,+1.37,+22.8,10.8,16.9,-6.1,,6.22,0.00,WATCH,PET
19.60,945,voiture,convergente,non,18.8,+1.51,+25.4,10.8,17.1,-6.3,,6.29,0.00,SAFE,—
19.65,945,voiture,convergente,non,18.8,+1.66,+28.0,10.7,17.3,-6.6,,6.33,0.00,SAFE,—
19.70,945,voiture,convergente,non,18.9,+1.81,+30.6,10.8,17.5,-6.8,,6.32,0.00,SAFE,—
19.75,945,voiture,convergente,non,18.9,+1.98,+33.3,11.1,17.8,-6.8,,6.16,0.00,SAFE,—
19.80,945,voiture,convergente,non,19.0,+2.15,+36.1,11.5,18.0,-6.5,,5.95,0.00,SAFE,—
19.85,945,voiture,convergente,non,19.0,+2.34,+39.1,12.0,18.0,-6.0,,5.69,0.00,SAFE,—
19.90,945,voiture,convergente,non,19.0,+2.54,+42.5,12.6,18.1,-5.6,,5.43,0.00,SAFE,—
19.95,945,voiture,convergente,non,18.9,+2.75,+45.9,13.2,18.4,-5.2,186.83,5.17,0.00,WATCH,PET
20.00,945,voiture,convergente,non,18.9,+2.97,+49.4,13.6,18.8,-5.2,49.71,5.01,0.00,WATCH,PET
20.05,945,voiture,convergente,non,18.9,+3.20,+52.6,13.7,19.1,-5.4,32.54,4.97,0.01,WATCH,PET
20.10,945,voiture,convergente,non,18.8,+3.43,+55.7,13.5,19.2,-5.7,25.06,5.01,0.01,WATCH,PET
20.15,945,voiture,convergente,non,18.8,+3.67,+58.6,13.3,19.1,-5.9,20.54,5.10,0.02,WATCH,PET
20.20,945,voiture,convergente,non,18.8,+3.91,+61.4,12.9,18.9,-6.0,17.42,5.22,0.03,WATCH,PET
20.25,945,voiture,convergente,non,18.7,+4.15,+64.1,12.6,18.8,-6.3,15.42,5.35,0.04,WATCH,PET
20.30,945,voiture,convergente,non,18.7,+4.39,+66.8,12.2,18.9,-6.7,14.10,5.51,0.05,WATCH,PET
20.35,945,voiture,convergente,non,18.6,+4.64,+69.5,11.8,18.8,-7.0,12.78,5.67,0.06,SAFE,—
20.40,945,voiture,convergente,non,18.6,+4.88,+72.1,11.6,18.9,-7.3,11.59,5.78,0.07,SAFE,—
20.45,945,voiture,convergente,non,18.5,+5.14,+74.5,11.6,18.9,-7.3,10.23,5.78,0.09,WATCH,PET
20.50,945,voiture,convergente,non,18.5,+5.39,+76.8,11.6,19.6,-8.1,9.38,5.75,0.11,WATCH,PET
20.55,945,voiture,convergente,non,18.5,+5.68,+78.9,11.5,21.7,-10.2,9.10,5.78,0.11,WATCH,PET
20.60,945,voiture,convergente,non,18.5,+5.99,+80.7,11.3,22.8,-11.6,8.77,5.89,0.12,WATCH,PET
20.65,945,voiture,convergente,non,18.4,+6.31,+82.3,11.0,23.6,-12.5,8.46,6.03,0.13,WATCH,PET
20.70,945,voiture,convergente,non,18.4,+6.65,+83.7,10.7,24.2,-13.5,8.27,6.23,0.13,SAFE,—
20.75,945,voiture,convergente,non,18.5,+6.99,+85.0,10.5,24.6,-14.1,7.97,6.34,0.15,SAFE,—
20.80,945,voiture,convergente,non,18.5,+7.34,+86.1,10.4,25.0,-14.5,7.62,6.37,0.16,WATCH,PET
20.85,945,voiture,convergente,non,18.5,+7.69,+87.0,10.5,25.3,-14.8,7.25,6.33,0.18,WATCH,PET
20.90,945,voiture,convergente,non,18.5,+8.05,+87.7,10.4,25.6,-15.2,7.10,6.40,0.18,WATCH,PET
20.95,945,voiture,convergente,non,18.6,+8.41,+88.3,10.3,26.0,-15.7,7.06,6.52,0.19,WATCH,PET
21.00,945,voiture,convergente,non,18.6,+8.77,+88.7,10.0,26.3,-16.3,7.15,6.73,0.18,WATCH,PET
21.05,945,voiture,convergente,non,18.7,+9.14,+89.1,9.7,26.6,-16.9,7.27,6.95,0.18,WATCH,PET
21.10,945,voiture,convergente,non,18.8,+9.51,+89.4,9.3,26.9,-17.5,7.47,7.23,0.17,WATCH,PET
21.15,945,voiture,convergente,non,18.9,+9.88,+89.6,9.0,27.2,-18.2,7.68,7.52,0.16,WATCH,PET
21.20,945,voiture,convergente,non,19.0,+10.26,+89.8,8.7,27.5,-18.8,7.97,7.87,0.15,WATCH,PET
21.25,945,voiture,convergente,non,19.1,+10.65,+89.9,8.4,27.8,-19.4,8.26,8.22,0.14,SAFE,—
21.30,945,voiture,convergente,non,19.2,+11.03,+90.0,8.1,28.0,-19.9,8.51,8.51,0.13,SAFE,—
21.35,945,voiture,convergente,non,19.3,+11.42,+90.1,8.1,28.3,-20.2,8.53,8.57,0.13,WATCH,PET
21.40,945,voiture,convergente,non,19.5,+11.82,+90.1,8.2,28.6,-20.4,8.53,8.58,0.13,WATCH,PET
21.45,945,voiture,convergente,non,19.6,+12.22,+90.1,8.1,28.8,-20.7,8.63,8.69,0.13,WATCH,PET
21.50,945,voiture,convergente,non,19.8,+12.62,+90.1,7.9,29.1,-21.1,8.91,8.97,0.12,WATCH,PET
21.55,945,voiture,convergente,non,20.0,+13.02,+90.1,7.7,29.3,-21.6,9.23,9.30,0.12,WATCH,PET
21.60,945,voiture,convergente,non,20.2,+13.43,+90.1,7.4,29.6,-22.1,9.69,9.75,0.11,WATCH,PET
21.65,945,voiture,convergente,non,20.4,+13.85,+90.1,7.2,29.8,-22.6,10.15,10.22,0.10,SAFE,—
21.70,945,voiture,convergente,non,20.6,+14.26,+90.1,7.0,29.9,-23.0,10.56,10.61,0.09,SAFE,—
21.75,945,voiture,convergente,non,20.8,+14.68,+90.1,7.0,30.0,-23.0,10.66,10.70,0.09,WATCH,PET
21.80,945,voiture,convergente,non,21.0,+15.09,+90.0,7.1,30.0,-23.0,10.69,10.71,0.09,WATCH,PET
21.85,945,voiture,convergente,non,21.3,+15.51,+90.0,7.0,30.0,-22.9,10.85,10.87,0.09,WATCH,PET
21.90,945,voiture,convergente,non,21.5,+15.92,+90.0,6.9,29.9,-23.0,11.26,11.26,0.08,WATCH,PET
21.95,945,voiture,convergente,non,21.8,+16.34,+90.0,6.7,29.8,-23.1,11.72,11.72,0.08,WATCH,PET
22.00,945,voiture,convergente,non,22.0,+16.75,+90.0,6.4,29.7,-23.3,12.37,12.35,0.07,WATCH,PET
22.05,945,voiture,convergente,non,22.3,+17.16,+90.0,4.3,29.6,-25.3,18.65,18.61,0.03,SAFE,—
22.10,945,voiture,convergente,non,22.6,+17.57,+90.0,2.5,29.6,-27.1,32.57,32.35,0.01,SAFE,—
22.15,945,voiture,convergente,non,22.9,+17.98,+90.0,2.8,29.5,-26.7,29.29,29.13,0.01,SAFE,—
22.20,945,voiture,convergente,non,23.2,+18.39,+90.0,3.4,29.5,-26.2,24.97,24.83,0.02,SAFE,—
22.25,945,voiture,convergente,non,23.5,+18.81,+90.0,4.1,29.6,-25.5,20.63,20.61,0.03,SAFE,—
22.30,945,voiture,convergente,non,23.8,+19.22,+90.0,4.6,29.6,-25.0,18.65,18.61,0.03,SAFE,—
22.35,945,voiture,convergente,non,24.0,+19.63,+90.0,5.4,29.7,-24.2,16.05,15.99,0.05,SAFE,—
22.40,945,voiture,convergente,non,24.3,+20.04,+89.9,5.9,29.7,-23.8,14.82,14.75,0.06,WATCH,PET
22.45,945,voiture,convergente,non,24.6,+20.45,+90.0,6.6,29.7,-23.1,13.41,13.36,0.07,WATCH,PET
22.50,945,voiture,convergente,non,24.9,+20.86,+89.9,6.6,29.7,-23.1,13.58,13.52,0.07,WATCH,PET
22.55,945,voiture,convergente,non,25.2,+21.27,+90.0,6.8,29.7,-22.9,13.32,13.28,0.07,WATCH,PET
22.60,945,voiture,convergente,non,25.5,+21.69,+90.0,6.5,29.7,-23.3,14.27,14.22,0.06,WATCH,PET
22.65,945,voiture,convergente,non,25.8,+22.10,+90.0,6.5,29.7,-23.2,14.36,14.32,0.06,WATCH,PET
22.70,945,voiture,convergente,non,26.1,+22.51,+90.0,6.0,29.7,-23.7,15.72,15.69,0.05,WATCH,PET
35.50,966,voiture,convergente,non,58.9,-18.97,+169.2,21.0,69.3,-48.3,2.38,10.12,5.19,SAFE,—
35.55,966,voiture,convergente,non,57.8,-20.11,+170.5,21.4,69.9,-48.4,2.30,9.70,5.45,SAFE,—
35.60,966,voiture,convergente,non,56.7,-21.13,+171.8,21.8,70.4,-48.6,2.23,9.37,5.69,SAFE,—
35.65,966,voiture,convergente,non,55.6,-22.05,+173.0,22.3,70.8,-48.6,2.16,8.98,5.95,SAFE,—
35.70,966,voiture,convergente,non,54.4,-22.85,+174.1,22.6,71.3,-48.7,2.10,8.67,6.19,SAFE,—
35.75,966,voiture,convergente,non,53.3,-23.55,+175.2,23.1,71.6,-48.6,2.03,8.32,6.46,SAFE,—
35.75,946,voiture,convergente,non,59.3,-18.96,+173.3,23.1,81.0,-57.9,2.06,9.26,6.97,SAFE,—
35.80,966,voiture,convergente,non,52.2,-24.16,+176.2,23.4,72.0,-48.6,1.97,8.03,6.71,SAFE,—
35.80,946,voiture,convergente,non,58.0,-19.71,+174.3,23.4,81.3,-57.9,2.00,8.93,7.23,SAFE,—
35.85,966,voiture,convergente,non,51.0,-24.67,+177.1,23.8,72.4,-48.6,1.91,7.71,6.98,SAFE,—
35.85,946,voiture,convergente,non,56.7,-20.36,+175.2,23.8,81.6,-57.8,1.94,8.57,7.53,SAFE,—
35.90,966,voiture,convergente,non,49.9,-25.11,+178.0,24.1,72.7,-48.7,1.86,7.45,7.25,SAFE,—
35.90,946,voiture,convergente,non,55.3,-20.91,+176.1,24.1,82.0,-57.9,1.88,8.27,7.82,SAFE,—
35.95,966,voiture,convergente,non,48.8,-25.46,+178.8,24.5,73.1,-48.6,1.80,7.16,7.54,SAFE,—
35.95,946,voiture,convergente,non,54.0,-21.38,+176.9,24.5,82.3,-57.8,1.82,7.94,8.13,WATCH,—
36.00,966,voiture,convergente,non,47.6,-25.75,+179.6,24.6,73.4,-48.8,1.75,6.96,7.80,SAFE,—
36.00,946,voiture,convergente,non,52.7,-21.76,+177.6,24.6,82.7,-58.0,1.77,7.70,8.42,WATCH,—
36.05,966,voiture,convergente,non,46.5,-25.97,+179.7,24.7,73.8,-49.1,1.70,6.78,8.05,WATCH,—
36.05,946,voiture,convergente,non,51.4,-22.08,+178.3,24.7,83.0,-58.3,1.72,7.50,8.70,WATCH,—
36.10,966,voiture,convergente,non,45.4,-26.14,+179.1,24.4,74.1,-49.8,1.66,6.70,8.25,WATCH,—
36.10,946,voiture,convergente,non,50.0,-22.32,+179.0,24.4,83.3,-59.0,1.67,7.39,8.94,WATCH,—
36.15,966,voiture,convergente,non,44.2,-26.26,+178.5,24.1,74.5,-50.4,1.62,6.60,8.47,WATCH,—
36.15,946,voiture,convergente,non,48.7,-22.52,+179.6,24.1,83.7,-59.5,1.63,7.27,9.20,WATCH,—
36.20,966,voiture,convergente,non,43.1,-26.35,+178.0,23.6,74.8,-51.2,1.58,6.58,8.66,WATCH,—
36.20,946,voiture,convergente,non,47.4,-22.66,+179.8,23.6,84.0,-60.4,1.59,7.23,9.42,WATCH,—
36.25,966,voiture,voie_opposee,non,42.1,-27.61,+176.8,23.2,75.1,-51.9,1.54,6.52,8.86,WATCH,—
36.25,946,voiture,convergente,non,46.1,-22.76,+179.3,23.2,84.3,-61.1,1.54,7.14,9.68,WATCH,—
36.30,966,voiture,voie_opposee,non,41.0,-27.60,+176.7,22.6,75.5,-52.9,1.51,6.52,9.04,WATCH,—
36.30,946,voiture,convergente,non,44.8,-22.83,+178.7,22.6,84.7,-62.0,1.50,7.13,9.91,WATCH,—
36.35,966,voiture,voie_opposee,non,39.9,-27.58,+176.6,22.2,75.8,-53.6,1.47,6.48,9.26,WATCH,—
36.35,946,voiture,convergente,non,43.5,-22.87,+178.3,22.2,85.0,-62.8,1.46,7.07,10.17,WATCH,—
36.40,966,voiture,voie_opposee,non,38.9,-27.57,+176.2,21.5,76.2,-54.6,1.44,6.50,9.44,WATCH,—
36.40,946,voiture,convergente,non,42.3,-22.89,+177.8,21.5,85.3,-63.8,1.42,7.07,10.41,WATCH,—
36.45,966,voiture,voie_opposee,non,37.8,-27.56,+175.9,21.1,76.5,-55.4,1.40,6.47,9.66,WATCH,—
36.45,946,voiture,convergente,non,41.0,-22.88,+177.4,21.1,85.7,-64.6,1.38,7.01,10.70,WATCH,—
36.50,966,voiture,voie_opposee,non,36.8,-27.56,+175.6,20.4,76.8,-56.4,1.37,6.50,9.85,WATCH,—
36.50,946,voiture,convergente,non,39.8,-22.86,+177.0,20.4,86.0,-65.6,1.35,7.02,10.96,WATCH,—
36.55,966,voiture,voie_opposee,non,35.9,-27.56,+175.3,19.9,77.2,-57.2,1.33,6.47,10.09,WATCH,—
36.55,946,voiture,voie_opposee,non,38.5,-24.39,+176.0,19.9,86.3,-66.4,1.31,6.96,11.26,WATCH,—
36.60,966,voiture,voie_opposee,non,34.9,-27.57,+175.1,19.3,77.5,-58.2,1.30,6.52,10.29,WATCH,—
36.60,946,voiture,voie_opposee,non,37.3,-24.38,+176.1,19.3,86.7,-67.4,1.27,6.97,11.56,WATCH,—
36.65,966,voiture,voie_opposee,non,34.0,-27.58,+174.9,18.8,77.8,-58.9,1.27,6.49,10.53,WATCH,—
36.65,946,voiture,voie_opposee,non,36.1,-24.37,+176.2,18.8,87.0,-68.2,1.23,6.91,11.92,WATCH,—
36.70,966,voiture,voie_opposee,non,33.1,-27.60,+174.7,18.2,78.0,-59.8,1.24,6.55,10.72,WATCH,—
36.70,946,voiture,voie_opposee,non,35.0,-24.35,+175.9,18.2,87.4,-69.2,1.20,6.93,12.24,WATCH,—
36.75,966,voiture,voie_opposee,non,32.2,-27.61,+174.6,13.3,78.2,-64.9,1.27,8.70,9.96,WATCH,—
